kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti
Kraj,Středočeský kraj,134,105,103,12,"0,00",10,0,0,11
Kraj,Středočeský kraj,167,108,108,12,"0,00",9,0,0,22
Kraj,Středočeský kraj,1417,925,920,93,"0,10",50,6,0,75
Kraj,Středočeský kraj,302,202,202,18,"0,49",20,0,0,13
Kraj,Středočeský kraj,252,167,166,29,"0,00",11,0,0,15
Kraj,Středočeský kraj,2841,1612,1605,142,"0,06",157,9,0,148
Kraj,Středočeský kraj,283,206,206,22,"0,00",21,3,0,17
Kraj,Středočeský kraj,69,54,54,2,"0,00",3,0,0,5
Kraj,Středočeský kraj,134,99,99,7,"0,00",7,0,0,9
Kraj,Středočeský kraj,326,206,204,15,"0,00",14,1,0,30
Kraj,Středočeský kraj,245,162,161,10,"0,00",9,2,0,4
Kraj,Středočeský kraj,344,231,230,30,"0,00",20,3,0,21
Kraj,Středočeský kraj,308,205,205,30,"0,48",18,4,0,6
Kraj,Středočeský kraj,6994,4559,4518,663,"0,19",325,31,0,280
Kraj,Středočeský kraj,739,551,549,54,"0,18",62,6,0,51
Kraj,Středočeský kraj,132,88,88,3,"0,00",11,2,0,18
Kraj,Středočeský kraj,445,315,314,25,"0,00",26,7,0,25
Kraj,Středočeský kraj,345,257,256,36,"0,00",26,2,0,20
Kraj,Středočeský kraj,266,161,160,21,"0,00",18,0,0,8
Kraj,Středočeský kraj,212,136,136,20,"0,73",6,0,0,5
Kraj,Středočeský kraj,744,366,364,23,"0,54",24,10,0,25
Kraj,Středočeský kraj,881,533,531,61,"0,00",33,5,0,47
Kraj,Středočeský kraj,234,174,174,28,"0,00",6,1,0,15
Kraj,Středočeský kraj,337,237,235,38,"0,00",4,3,0,23
Kraj,Středočeský kraj,506,334,334,47,"0,00",14,3,0,27
Kraj,Středočeský kraj,126,81,80,1,"0,00",9,2,0,4
Kraj,Středočeský kraj,84,64,64,10,"0,00",9,2,0,7
Kraj,Středočeský kraj,337,226,225,32,"0,00",8,3,0,13
Kraj,Středočeský kraj,210,114,113,6,"0,00",14,0,0,14
Kraj,Středočeský kraj,663,453,451,28,"0,00",33,6,0,60
Kraj,Středočeský kraj,379,231,229,33,"1,31",6,2,0,16
Kraj,Středočeský kraj,178,107,107,9,"0,00",14,3,0,11
Kraj,Středočeský kraj,209,146,146,19,"0,68",13,1,0,5
Kraj,Středočeský kraj,332,213,213,12,"0,00",10,4,0,33
Kraj,Středočeský kraj,442,277,276,23,"0,00",23,3,0,15
Kraj,Středočeský kraj,1698,970,965,65,"0,51",57,6,0,206
Kraj,Středočeský kraj,741,481,476,47,"0,00",23,6,0,37
Kraj,Středočeský kraj,394,266,255,26,"0,39",23,1,0,18
Kraj,Středočeský kraj,261,162,160,11,"0,00",9,3,0,8
Kraj,Středočeský kraj,95,74,74,8,"0,00",4,0,0,6
Kraj,Středočeský kraj,1080,678,675,55,"0,00",43,18,0,36
Kraj,Středočeský kraj,168,122,121,20,"0,82",13,1,0,8
Kraj,Středočeský kraj,98,56,56,2,"0,00",14,1,0,8
Kraj,Středočeský kraj,333,213,210,22,"0,00",18,1,0,28
Kraj,Středočeský kraj,867,534,529,45,"0,18",36,5,0,29
Kraj,Středočeský kraj,152,112,112,22,"0,89",7,0,0,3
Kraj,Středočeský kraj,102,87,87,16,"0,00",6,3,0,18
Kraj,Středočeský kraj,485,334,331,27,"0,00",29,2,0,25
Kraj,Středočeský kraj,168,129,128,17,"0,00",9,0,0,7
Kraj,Středočeský kraj,151,109,109,8,"0,91",9,5,0,10
Kraj,Středočeský kraj,398,266,263,28,"0,00",18,5,0,29
Kraj,Středočeský kraj,802,537,531,62,"0,00",33,3,0,23
Kraj,Středočeský kraj,270,160,160,13,"0,00",22,1,0,23
Kraj,Středočeský kraj,1699,1059,1051,93,"0,09",73,14,0,100
Kraj,Středočeský kraj,64,42,42,6,"0,00",3,1,0,3
Kraj,Středočeský kraj,608,376,374,42,"0,00",13,4,0,25
Kraj,Středočeský kraj,445,282,280,23,"0,00",10,1,0,14
Kraj,Středočeský kraj,224,142,142,12,"0,00",11,1,0,16
Kraj,Středočeský kraj,632,397,391,40,"0,00",27,4,0,33
Kraj,Středočeský kraj,355,250,249,26,"0,40",13,3,0,13
Kraj,Středočeský kraj,528,318,318,37,"0,00",12,2,0,10
Kraj,Středočeský kraj,162,102,101,10,"0,00",1,1,0,14
Kraj,Středočeský kraj,44,32,32,4,"0,00",4,0,0,1
Kraj,Středočeský kraj,922,631,616,110,"0,00",31,4,0,33
Kraj,Středočeský kraj,210,147,147,23,"0,00",9,6,0,4
Kraj,Středočeský kraj,1587,1067,1060,146,"0,00",68,17,0,90
Kraj,Středočeský kraj,127,100,100,20,"0,00",8,2,0,11
Kraj,Středočeský kraj,1022,665,655,76,"0,30",61,4,0,71
Kraj,Středočeský kraj,209,151,150,13,"0,00",13,3,0,14
Kraj,Středočeský kraj,529,346,346,32,"0,28",27,5,0,27
Kraj,Středočeský kraj,233,155,155,15,"0,00",4,1,0,9
Kraj,Středočeský kraj,206,125,122,13,"0,00",8,1,0,9
Kraj,Středočeský kraj,92,59,58,4,"0,00",0,0,0,5
Kraj,Středočeský kraj,190,134,133,32,"0,00",13,3,0,2
Kraj,Středočeský kraj,300,165,163,16,"0,00",10,6,0,21
Kraj,Středočeský kraj,1093,770,769,66,"0,13",28,8,0,39
Kraj,Středočeský kraj,490,310,308,32,"0,64",23,3,0,38
Kraj,Středočeský kraj,79,43,43,5,"0,00",3,0,0,4
Kraj,Středočeský kraj,438,277,273,19,"0,00",21,2,0,19
Kraj,Středočeský kraj,884,532,527,57,"0,00",53,5,0,44
Kraj,Středočeský kraj,399,248,246,30,"0,40",12,1,0,23
Kraj,Středočeský kraj,26653,15856,15728,1714,"0,14",1186,83,0,1324
Kraj,Středočeský kraj,260,177,177,20,"0,56",6,3,0,13
Kraj,Středočeský kraj,151,112,111,5,"0,00",14,1,0,7
Kraj,Středočeský kraj,181,119,117,8,"0,00",9,3,0,18
Kraj,Středočeský kraj,637,389,385,49,"0,25",32,2,0,46
Kraj,Středočeský kraj,3564,2192,2182,200,"0,09",190,18,0,329
Kraj,Středočeský kraj,335,227,227,39,"0,44",12,1,0,18
Kraj,Středočeský kraj,188,136,136,10,"0,73",12,0,0,29
Kraj,Středočeský kraj,5991,3841,3809,488,"0,10",261,43,0,237
Kraj,Středočeský kraj,2331,1513,1509,155,"0,06",134,10,0,126
Kraj,Středočeský kraj,212,164,161,30,"0,62",16,1,0,16
Kraj,Středočeský kraj,198,144,143,13,"0,00",8,2,0,10
Kraj,Středočeský kraj,319,187,187,10,"0,00",20,1,0,18
Kraj,Středočeský kraj,1052,756,755,108,"0,13",46,6,0,82
Kraj,Středočeský kraj,111,71,71,8,"0,00",2,0,0,14
Kraj,Středočeský kraj,281,220,218,30,"0,00",12,1,0,26
Kraj,Středočeský kraj,352,251,250,37,"0,40",11,1,0,9
Kraj,Středočeský kraj,490,311,311,38,"0,00",24,2,0,22
Kraj,Středočeský kraj,86,65,65,9,"0,00",3,0,0,4
Kraj,Středočeský kraj,262,160,159,23,"0,00",9,0,0,13
Kraj,Středočeský kraj,57,24,23,1,"0,00",17,0,0,0
Kraj,Středočeský kraj,496,337,333,29,"0,00",26,1,0,33
Kraj,Středočeský kraj,363,241,239,21,"0,00",13,3,0,23
Kraj,Středočeský kraj,197,136,133,13,"0,00",9,1,0,8
Kraj,Středočeský kraj,84,61,61,2,"0,00",0,0,0,6
Kraj,Středočeský kraj,139,85,85,10,"0,00",6,2,0,3
Kraj,Středočeský kraj,536,363,360,32,"0,00",39,1,0,36
Kraj,Středočeský kraj,536,356,354,46,"0,28",35,4,0,22
Kraj,Středočeský kraj,331,223,222,9,"0,00",31,3,0,38
Kraj,Středočeský kraj,498,343,341,44,"0,00",25,6,0,10
Kraj,Středočeský kraj,130,89,89,12,"1,12",3,2,0,10
Kraj,Středočeský kraj,236,147,146,8,"0,00",13,0,0,17
Kraj,Středočeský kraj,107,80,79,12,"0,00",4,1,0,10
Kraj,Středočeský kraj,264,203,203,15,"0,00",14,2,0,16
Kraj,Středočeský kraj,685,429,428,34,"0,23",34,10,0,28
Kraj,Středočeský kraj,260,181,179,20,"0,00",14,0,0,18
Kraj,Středočeský kraj,112,70,70,3,"0,00",7,0,0,4
Kraj,Středočeský kraj,244,169,169,12,"0,00",21,2,0,9
Kraj,Středočeský kraj,70,49,49,9,"0,00",6,3,0,1
